frequency,input_ampl,meas_ampl,gain
500,50,52,-2
3500,50,49,1
4000,50,51,-1
4500,50,51,-1
5000,50,52,-2
5500,50,51,-1
6000,50,50,0
6500,50,50,0
7000,50,50,0
7500,50,49,1
8000,50,50,0
8500,50,52,-2
9000,50,48,2
9500,50,50,0
10000,50,51,-1
10500,50,52,-2
11000,50,48,2
11500,50,48,2
12000,50,49,1
12500,50,52,-2
13000,50,51,-1
13500,50,48,2
14000,50,52,-2
14500,50,51,-1
15000,50,48,2
15500,50,50,0
16000,50,49,1
16500,50,51,-1
17000,50,48,2
17500,50,49,1
18000,50,51,-1
18500,50,52,-2
19000,50,50,0
19500,50,50,0
22050,50,51,-1
22100,50,49,1
22150,50,48,2
22200,50,49,1
22250,50,50,0
22300,50,52,-2
22350,50,49,1
22400,50,49,1
22450,50,48,2
22500,50,51,-1
22550,50,51,-1
22600,50,49,1
22650,50,50,0
22700,50,52,-2
22750,50,49,1
22800,50,49,1
22850,50,48,2
22900,50,48,2
22950,50,50,0
23000,50,48,2
23000,50,48,2
23050,50,48,2
23100,50,48,2
23150,50,51,-1
23200,50,49,1
23250,50,50,0
23300,50,49,1
23350,50,50,0
23400,50,48,2
23450,50,52,-2
23500,50,48,2
23550,50,50,0
23600,50,52,-2
23650,50,48,2
23700,50,52,-2
23750,50,52,-2
23800,50,48,2
23850,50,50,0
23900,50,48,2
23950,50,50,0
24000,50,50,0
24000,50,51,-1
24050,50,50,0
24100,50,49,1
24150,50,51,-1
24200,50,48,2
24250,50,50,0
24300,50,49,1
24350,50,52,-2
24400,50,49,1
24450,50,48,2
24500,50,50,0
24550,50,52,-2
24600,50,49,1
24650,50,50,0
24700,50,52,-2
24750,50,50,0
24800,50,51,-1
24850,50,52,-2
24900,50,49,1
24950,50,51,-1
25000,50,49,1
25000,50,50,0
25050,50,48,2
25100,50,48,2
25150,50,49,1
25200,50,50,0
25250,50,49,1
25300,50,49,1
25350,50,50,0
25400,50,48,2
25450,50,51,-1
25500,50,49,1
25550,50,50,0
25600,50,49,1
25650,50,49,1
25700,50,51,-1
25750,50,48,2
25800,50,51,-1
25850,50,49,1
25900,50,48,2
25950,50,48,2
26000,50,50,0
26000,50,48,2
26050,50,52,-2
26100,50,51,-1
26150,50,51,-1
26200,50,51,-1
26250,50,51,-1
26300,50,48,2
26350,50,49,1
26400,50,48,2
26450,50,49,1
26500,50,51,-1
26550,50,49,1
26600,50,49,1
26650,50,51,-1
26700,50,48,2
26750,50,48,2
26800,50,48,2
26850,50,49,1
26900,50,49,1
26950,50,50,0
27000,50,52,-2
27000,50,48,2
27050,50,50,0
27100,50,51,-1
27150,50,52,-2
27200,50,48,2
27250,50,48,2
27300,50,49,1
27350,50,49,1
27400,50,49,1
27450,50,52,-2
27500,50,51,-1
27550,50,51,-1
27600,50,48,2
27650,50,52,-2
27700,50,50,0
27750,50,50,0
27800,50,48,2
27850,50,48,2
27900,50,51,-1
27950,50,50,0
28000,50,49,1
28000,50,51,-1
28050,50,48,2
28100,50,52,-2
28150,50,49,1
28200,50,49,1
28250,50,50,0
28300,50,52,-2
28350,50,51,-1
28400,50,48,2
28450,50,48,2
28500,50,48,2
28550,50,51,-1
28600,50,52,-2
28650,50,48,2
28700,50,50,0
28750,50,52,-2
28800,50,48,2
28850,50,50,0
28900,50,49,1
28950,50,50,0
29000,50,48,2
29000,50,50,0
29050,50,48,2
29100,50,50,0
29150,50,52,-2
29200,50,51,-1
29250,50,49,1
29300,50,48,2
29350,50,48,2
29400,50,51,-1
29450,50,50,0
29500,50,51,-1
29550,50,49,1
29600,50,48,2
29650,50,52,-2
29700,50,49,1
29750,50,49,1
29800,50,50,0
29850,50,51,-1
29900,50,48,2
29950,50,49,1
30000,50,48,2
30100,50,49,1
30200,50,48,2
30300,50,48,2
30400,50,51,-1
30500,50,52,-2
30600,50,52,-2
30700,50,48,2
30800,50,50,0
30900,50,50,0
31000,50,49,1
31000,50,50,0
31100,50,50,0
31200,50,52,-2
31300,50,49,1
31400,50,50,0
31500,50,52,-2
31600,50,48,2
31700,50,52,-2
31800,50,49,1
31900,50,50,0
32000,50,51,-1
32000,50,52,-2
32100,50,50,0
32200,50,49,1
32300,50,48,2
32400,50,50,0
32500,50,48,2
32600,50,49,1
32700,50,48,2
32800,50,52,-2
32900,50,49,1
33000,50,48,2
33000,50,48,2
33100,50,52,-2
33200,50,48,2
33300,50,49,1
33400,50,50,0
33500,50,49,1
33600,50,50,0
33700,50,48,2
33800,50,49,1
33900,50,52,-2
34000,50,49,1
34000,50,51,-1
34100,50,48,2
34200,50,50,0
34300,50,51,-1
34400,50,48,2
34500,50,48,2
34600,50,48,2
34700,50,52,-2
34800,50,50,0
34900,50,52,-2
