,date,username,system_id,system,mode,test_tab_ref,testname,start_freq,stop_freq,step_freq,freq_list,set_power,pos_angle,signal_cat,pw,pri,ampl,rms_error,test_status,remarks,start_pw,stop_pw,step_pw,pw_list,freq,start_pri,stop_pri,step_pri,pri_list,start_ampl,stop_ampl,step_ampl,ampl_list,start_doa,stop_doa,step_doa,doa_list,start_sens,stop_sens,step_sens,sens_list
0,2024-04-30 15:48:19.181364,ravi,1.0,esm,RADIATION,esmfreqacctest_2024_04_30_15_48_19,Frequency Test,500.0,1000.0,50.0,"[123.6, 167, 189]",-30.0,140.0,PULSE,0.0,0.0,850.0,1.0,Incomplete,new row added,,,,,,,,,,,,,,,,,,,,,
1,2024-04-30 15:49:34.854046,ravi,1.0,esm,RADIATION,esmfreqacctest_2024_04_30_15_49_34,Frequency Test,500.0,1000.0,50.0,"[123.6, 167, 189]",-30.0,140.0,PULSE,0.0,0.0,850.0,1.0,Incomplete,new row added,,,,,,,,,,,,,,,,,,,,,
2,2024-04-30 15:50:01.972654,ravi,1.0,esm,RADIATION,esmfreqacctest_2024_04_30_15_50_01,Frequency Test,500.0,1000.0,50.0,"[123.6, 167, 189]",-30.0,140.0,PULSE,0.0,0.0,850.0,1.0,Incomplete,new row added,,,,,,,,,,,,,,,,,,,,,
3,2024-04-30 15:50:45.039089,ravi,1.0,esm,RADIATION,esmfreqacctest_2024_04_30_15_50_45,Frequency Test,500.0,1000.0,50.0,"[123.6, 167, 189]",-30.0,140.0,PULSE,0.0,0.0,850.0,1.0,Incomplete,new row added,,,,,,,,,,,,,,,,,,,,,
4,2024-04-30 15:46:42.619900,ravi,1.0,esm,RADIATION,esmfreqacctest_2024_04_30_15_46_42,Frequency Test,500.0,1000.0,50.0,"[123.6, 167, 189]",-30.0,140.0,PULSE,0.0,0.0,850.0,1.0,Incomplete,new row added,,,,,,,,,,,,,,,,,,,,,
5,2024-04-26 11:47:52.785778,ravi,1.0,rwr,INJECTION,rwrfreqacctest_2024_04_26_11_47_52,Frequency Test,500.0,1000.0,50.0,"[123.6, 167, 189]",-30.0,140.0,PULSE,0.0,0.0,850.0,1.0,Incomplete,new row added,,,,,,,,,,,,,,,,,,,,,
6,2024-04-26 11:47:10.197799,ravi,1.0,esm,INJECTION,esmfreqacctest_2024_04_26_11_47_10,Frequency Test,500.0,1000.0,50.0,"[123.6, 167, 189]",-30.0,140.0,PULSE,0.0,0.0,850.0,1.0,Incomplete,new row added,,,,,,,,,,,,,,,,,,,,,
7,2024-04-26 11:53:59.504017,ravi,1.0,rfps,RADIATION,rfpsfreqacctest_2024_04_26_11_53_59,Frequency Test,500.0,1000.0,50.0,"[123.6, 167, 189]",-30.0,140.0,PULSE,0.0,0.0,850.0,1.0,Incomplete,new row added,,,,,,,,,,,,,,,,,,,,,
8,2024-04-26 11:51:23.848866,ravi,1.0,warner,RADIATION,warnerfreqacctest_2024_04_26_11_51_23,Frequency Test,500.0,1000.0,50.0,"[123.6, 167, 189]",-30.0,140.0,PULSE,0.0,0.0,850.0,1.0,Incomplete,new row added,,,,,,,,,,,,,,,,,,,,,
9,2024-04-30 15:48:57.973654,ravi,1.0,esm,RADIATION,esmfreqacctest_2024_04_30_15_48_57,Frequency Test,500.0,1000.0,50.0,"[123.6, 167, 189]",-30.0,140.0,PULSE,0.0,0.0,850.0,1.0,Incomplete,new row added,,,,,,,,,,,,,,,,,,,,,
